time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,0.47864967010291,0.36521014317514
3e-09,1.4359476066672,1.0956304411772
7e-09,3.3505377275877,2.5564710061884
1.5e-08,7.1796946143063,5.478152043969
3.1e-08,14.837916158872,11.321514694208
6.3e-08,30.1539888339,23.008239304041
1.27e-07,60.784657339917,46.381690154734
2.55e-07,122.04009078134,93.12859346373
5.11e-07,244.52728280449,186.62240525876
1.023e-06,489.40711137705,373.60999692072
2.047e-06,978.78871096536,747.5851656435
4.095e-06,1956.0407377948,1495.5352696878
8.191e-06,3904.4984747458,2991.431753814
1.6383e-05,7777.0580539404,5983.1655013035
3.2767e-05,15420.990636455,11965.697511766
6.5535e-05,30239.903656632,23916.2160969
0.000131071,57114.754072236,47602.169297872
0.000262143,93214.093558665,92363.65314469
0.000524287,108714.97070638,163895.12183946
0.001048575,94823.788077891,253820.63473756
0.002097151,75794.240989327,356830.66340447
0.004194303,57811.4531577,485002.00526921
0.008388607,38178.348584875,672423.98684839
0.016777215,20188.575874241,984979.12996114
0.026777215,11436.077599224,1333686.6219918
0.036777215,7355.8925419252,1673112.5437145
0.046777215,5129.1248175501,2008427.6270184
0.056777215,3779.8469856624,2341917.8816102
0.066777215,2900.186997707,2674662.2326683
0.076777215,2294.8223175037,3007195.2957535
0.086777215,1860.4956207132,3339788.2245783
0.096777215,1538.3800307491,3672577.7058957
0.106777215,1292.938772986,4005629.1219591
0.116777215,1101.6667736385,4338969.1429517
0.126777215,949.74659966089,4672603.2206101
0.136777215,827.09875054786,5006525.2710712
0.146777215,726.67337917806,5340723.1520135
0.156777215,643.41993499679,5675181.8034668
0.166777215,573.64367761269,6009885.0558587
0.176777215,514.59147283795,6344816.6647284
0.186777215,464.17802237728,6679960.8881742
0.196777215,420.80062910803,7015302.7927375
0.206777215,383.21122512233,7350828.3972718
0.216777215,350.42629262068,7686524.7205706
0.226777215,321.66237831707,8022379.7733166
0.236777215,296.2892184432,8358382.5179454
0.246777215,273.79518621792,8694522.8125764
0.256777215,253.76149572274,9030791.3467126
0.266777215,235.84271567418,9367179.5758255
0.276777215,219.75188984103,9703679.6567585
0.286777215,205.24906076243,10040284.386366
0.296777215,192.13233579639,10376987.1442
0.306777215,180.23087201471,10713781.83969
0.316777215,169.39932319479,11050662.863931
0.326777215,159.51341096238,11387625.045585
0.336777215,150.46636745171,11724663.611191
0.346777215,142.16605899533,12061774.149001
0.356777215,134.53264585289,12398952.576685
0.366777215,127.49666690866,12736195.111962
0.376777215,120.99746336528,13073498.246199
0.386777215,114.98187464776,13410858.72061
0.396777215,109.40315409015,13748273.504805
0.406777215,104.22006311361,14085739.777382
0.416777215,99.396111100244,14423254.908485
0.426777215,94.898914800294,14760816.443937
0.436777215,90.699656283043,15098422.09096
0.446777215,86.772622479316,15436069.70516
0.456777215,83.094812587884,15773757.278872
0.466777215,79.645602165835,16111482.930392
0.476777215,76.406454728092,16449244.894356
0.486777215,73.36067335064,16787041.512803
0.496777215,70.49318604774,17124871.227221
0.506777215,67.790359788165,17462732.571155
0.516777215,65.239838866063,17800624.16357
0.526777215,62.830404043353,18138544.702661
0.536777215,60.551849481294,18476492.960236
0.546777215,58.394874927672,18814467.776644
0.556777215,56.350991048941,19152468.055953
0.566777215,54.412436100672,19490492.761719
0.576777215,52.572102412975,19828540.912912
0.586777215,50.823471394088,20166611.58031
0.596777215,49.160555940519,20504703.883083
0.606777215,47.577849307629,20842816.985653
0.616777215,46.070279623356,21180950.094871
0.626777215,44.633169347191,21519102.457288
0.636777215,43.262199066874,21857273.356726
0.646777215,41.95337511421,22195462.111991
0.656777215,40.703000543049,22533668.074734
0.666777215,39.507649078459,22871890.627513
0.676777215,38.364141694742,23210129.181941
0.686777215,37.269525522828,23548383.177002
0.696777215,36.22105482611,23886652.077468
0.706777215,35.21617381689,24224935.372435
0.716777215,34.252501112339,24563232.573937
0.726777215,33.327815653496,24901543.215684
0.736777215,32.440043932753,25239866.851848
0.746777215,31.587248391745,25578203.055966
0.756777215,30.767616869817,25916551.419885
0.766777215,29.979452995036,26254911.552791
0.776777215,29.221167422797,26593283.080289
0.786777215,28.491269838398,26931665.643551
0.796777215,27.788361647304,27270058.898505
0.806777215,27.111129287382,27608462.515096
0.816777215,26.458338102619,27946876.176568
0.826777215,25.828826725993,28285299.578789
0.836777215,25.221501922315,28623732.429644
0.846777215,24.635333850247,28962174.448439
0.856777215,24.069351703631,29300625.365339
0.866777215,23.52263969841,29639084.920856
0.876777215,22.994333374154,29977552.865349
0.886777215,22.483616182458,30316028.958569
0.896777215,21.989716336548,30654512.969213
0.906777215,21.511903900177,30993004.674515
0.916777215,21.049488094871,31331503.85985
0.926777215,20.601814806816,31670010.318365
0.936777215,20.168264277333,32008523.850635
0.946777215,19.748248960937,32347044.264334
0.956777215,19.341211536531,32685571.336145
0.966777215,18.946623088758,33024104.96548
0.976777215,18.563981291876,33362644.938423
0.986777215,18.192808960981,33701191.088089
0.996777215,17.832652635474,34039743.265736
1.006777215,17.483080365889,34378301.291998
1.016777215,17.143682113571,34716865.02772
1.026777215,16.8140670263,35055434.325654
1.036777215,16.493862709046,35394009.046293
1.046777215,16.182714504051,35732589.053507
1.056777215,15.880284250386,36071174.215565
1.066777215,15.586249418712,36409764.404955
1.076777215,15.300302252465,36748359.498244
1.086777215,15.02214908406,37086959.35477
1.096777215,14.751508997194,37425563.90016
1.106777215,14.488114174234,37764173.057098
1.116,14.251391987824,38076468.737136

